Category,Feature,Description,Hours,Cost_USD
Core Features,نظام المصادقة والأمان,OTP، JWT، إدارة الصلاحيات، تشفير متقدم,0,0
Core Features,إدارة المستخدمين,النقاط، التقييم، شرائح العملاء، التحليلات السلوكية,0,0
Core Features,إدارة المنتجات,هيكل المنتجات، المتغيرات، المخزون، التسعير بالدولار,0,0
Core Features,سلة التسوق,إدارة ذكية، مزامنة متعددة الأجهزة، تتبع متروكة,0,0
Core Features,نظام الدفع والفواتير,بوابات متعددة، فواتير ذكية، قابلية التوسع,0,0
Core Features,الدفع والإنهاء,حفظ الطلبات، إدارة الشحن، تكامل بوابات الدفع,0,0
Search & Discovery,البحث المتقدم,بحث شامل، فلترة متقدمة، ترتيب ذكي,0,0
Search & Discovery,العلامات التجارية,إدارة شاملة، بيانات متعددة اللغات,0,0
Search & Discovery,الفئات والتصنيف,هيكل هرمي، سمات مخصصة,0,0
Search & Discovery,السمات والخصائص,نظام سمات مرن، JSON-based,0,0
E-commerce,المفضلة,مزامنة متعددة الأجهزة، دعم الضيوف,0,0
E-commerce,أسعار الصرف,تحديث يومي، عرض متعدد العملات,0,0
E-commerce,العناوين,إدارة شاملة، تكامل مع الخرائط,0,0
E-commerce,الرفع والوسائط,تكامل Bunny.net، إدارة مجلدات ذكية,0,0
Services,نظام الخدمات,طلبات الخدمات، عروض تنافسية، تتبع الموقع,0,0
Services,دعم العملاء,تذاكر، ردود جاهزة، مرفقات، تقييمات,0,0
Services,الإشعارات,بريد إلكتروني، SMS، إشعارات التطبيق,0,0
Analytics & Admin,التحليلات,تقارير شاملة، تحليلات الأداء، تنبؤات,0,0
Analytics & Admin,التسويق والعروض,قواعد التسعير، كوبونات، لافتات إعلانية,0,0
Analytics & Admin,الأمان والحماية,تشفير، حماية من الهجمات، GDPR,0,0
Analytics & Admin,مراقبة الصحة,فحوصات شاملة، مراقبة الخدمات الخارجية,0,0
System Management (NEW),مراقبة الأداء والموارد,مراقبة CPU/Memory/Disk، MongoDB، Redis، API Performance، تنبيهات تلقائية، رسوم بيانية حية,22,1375
System Management (NEW),إدارة الأخطاء والسجلات,تسجيل ذكي، Deduplication، تصنيف متقدم، إحصائيات شاملة، تصدير متعدد الصيغ,26,1625
System Management (NEW),إدارة نصوص التعريب,إدارة ترجمات عربي/إنجليزي، Namespaces، استيراد/تصدير، إحصائيات الاكتمال، تتبع التغييرات,30,1875
System Management (NEW),إعدادات النظام المركزية,8 فئات شاملة، 30+ إعداد، تحديث فوري، واجهة Tabs منظمة، Public API,28,1750
